Address,Text,Response,DataPos,DataSize,DataMask,TextUnit
2F 01 01,Injector 1 Control Cylinder 1,6F 01 01,0,1,255,
2F 01 02,Injector 2 Control Cylinder 2,6F 01 02,0,1,255,
2F 01 03,Injector 3 Control Cylinder 3,6F 01 03,0,1,255,
2F 01 04,Injector 4 Control Cylinder 4,6F 01 04,0,1,255,
2F 01 05,Injector 5 Control Cylinder 5,6F 01 05,0,1,255,
2F 01 06,Injector 6 Control Cylinder 6,6F 01 06,0,1,255,
2F 01 21,VVT Output Control,6F 01 21,0,1,255,
2F 01 22,VVL Output Control,6F 01 22,0,1,255,
2F 01 25,Tacho Output,6F 01 25,0,1,255,
2F 01 26,Speedo Output,6F 01 26,0,1,255,
2F 01 27,Evap Purge Valve Control,6F 01 27,0,1,255,
2F 01 28,Tacho RPM Control,6F 01 28,0,2,65535,RPM
2F 01 29,Speedo Output Control (MPH),6F 01 29,0,2,65535,MPH
2F 01 29,Speedo Output Control (KPH),6F 01 29,0,2,65535,KPH
2F 01 41,Fuel Pump Control,6F 01 41,0,1,255,
2F 01 42,Intake Air Valve Control,6F 01 42,0,1,255,
2F 01 43,Lambda Heater Control (all sensors),6F 01 43,0,1,255,
2F 01 44,Coolant Circulation Pump Control,6F 01 44,0,1,255,
2F 01 45,Air Pump,6F 01 45,0,1,255,
2F 01 46,A/C Clutch Control,6F 01 46,0,1,255,
2F 01 47,MIL Control,6F 01 47,0,1,255,
2F 01 48,Oil Pressure Warning Lamp Control,6F 01 48,0,1,255,
2F 01 49,Canister Close Valve Control,6F 01 49,0,1,255,
2F 01 4A,Cooling Fan 1 Control,6F 01 4A,0,1,255,
2F 01 4B,Cooling Fan 2 Control,6F 01 4B,0,1,255,
2F 01 4C,Engine Bay / Auxiliary Cooling Fan Control,6F 01 4C,0,1,255,
2F 01 4D,Speed Alert Buzzer Control,6F 01 4D,0,1,255,
2F 01 4E,Exhaust Flap Control,6F 01 4E,0,1,255,
2F 01 4F,Fuel pump ballast resistor relay,6F 01 4F,0,1,255,
2F 01 61,Ignition Coil Control Cylinder 1,6F 01 61,0,1,255,
2F 01 62,Ignition Coil Control Cylinder 2,6F 01 62,0,1,255,
2F 01 63,Ignition Coil Control Cylinder 3,6F 01 63,0,1,255,
2F 01 64,Ignition Coil Control Cylinder 4,6F 01 64,0,1,255,
2F 01 65,Ignition Coil Control Cylinder 5,6F 01 65,0,1,255,
2F 01 66,Ignition Coil Control Cylinder 6,6F 01 66,0,1,255,
2F 01 67,Variable Intake Manifold Control,6F 01 67,0,1,255,
2F 01 72,Unlock Torque Converter,6F 01 72,0,1,255,
2F 01 73,Park Request Switch LED,6F 01 73,0,1,255,
2F 01 74,Reverse Request Switch LED,6F 01 74,0,1,255,
2F 01 75,Neutral Request Switch LED,6F 01 75,0,1,255,
2F 01 76,Drive Request Switch LED,6F 01 76,0,1,255,
2F 01 77,Solenoid Output SL,6F 01 77,0,1,255,
2F 01 78,Solenoid Output SLT,6F 01 78,0,1,255,
2F 01 79,Solenoid Output SLU,6F 01 79,0,1,255,
2F 01 7A,Solenoid Output SL1,6F 01 7A,0,1,255,
2F 01 7B,Solenoid Output SL2,6F 01 7B,0,1,255,
2F 01 7C,Solenoid Output SL3,6F 01 7C,0,1,255,
2F 01 7D,Solenoid Output SL4,6F 01 7D,0,1,255,
2F 01 7E,Shift actuator locking solenoid,6F 01 7E,0,1,255,
2F 01 7F,Ignition Key Interlock solenoid,6F 01 7F,0,1,255,
2F 01 81,Reverse Circuit Relay,6F 01 81,0,1,255,
2F 01 83,TCU MIL Control,6F 01 83,0,1,255,
